Country,Language,id
United Arab Emirates,en,784
Afghanistan,en,4
Anguilla,en,660
Argentina,es,32
Austria,en,40
Australia,en,36
Bosnia and Herzegovina,en,70
Belgium,en,56
Brazil,pt,76
Canada,en,124
Switzerland,en,756
Chile,es,152
Colombia,es,170
Costa Rica,es,188
Czech Republic,en,203
Germany,de,276
Denmark,en,208
Estonia,en,233
Egypt,en,818
Spain,es,724
Finland,en,246
France,fr,250
United Kingdom,en,826
Gibraltar,en,292
Greece,en,300
Guatemala,en,320
Guam,en,316
Hong Kong,en,344
Honduras,en,340
Croatia,en,191
Hungary,en,348
Indonesia,en,360
Ireland,en,372
Israel,en,376
India,en,356
Iceland,en,352
Italy,en,380
Jamaica,en,388
Jordan,en,400
Japan,en,392
Kenya,en,404
Lebanon,en,422
Lithuania,en,440
Luxembourg,fr,442
Latvia,en,428
Malta,en,470
Mexico,es,484
Malaysia,en,458
Nicaragua,en,558
Netherlands,en,528
Norway,en,578
New Zealand,en,554
Panama,es,591
Peru,es,604
Philippines,en,608
Pakistan,en,586
Poland,en,616
Puerto Rico,es,630
Portugal,pt,620
Romania,en,642
Saudi Arabia,en,682
Sweden,en,752
Singapore,en,702
Thailand,en,764
Turkey,en,792
Trinidad and Tobago,en,780
Uganda,en,800
United States,en,840
South Africa,en,710
